time,psi
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
4.3,1
4.9,1
5.0,1
5.1,1
5.2,1
5.3,1
5.4,1
5.5,1
5.6,1
5.7,1
5.8,1
5.9,1
6.0,1
6.1,1
6.2,1
6.3,1
6.4,1
6.5,1
6.6,1
6.7,1
6.8,1
6.9,1
7.0,1
7.1,1
7.2,1
7.3,1
7.4,1
7.5,1
7.6,1
7.7,1
7.8,1
7.9,1
8.0,1
8.1,1
8.2,1
8.3,1
8.4,1
8.5,1
8.6,1
8.7,1
8.8,1
8.9,1
9.0,1
9.1,1
9.2,1
9.3,1
9.4,1
9.5,1
9.6,1
9.7,1
9.8,1
9.9,1
10.0,1
10.1,1
10.2,1
10.3,1
10.4,1
10.5,1
10.6,1
10.7,1
10.8,1
10.9,1
11.0,1
11.1,1
11.2,1
11.3,1
11.4,1
11.5,1
11.6,1
11.7,1
11.8,1
11.9,1
12.0,1
12.1,1
12.2,1
12.3,1
12.4,1
12.5,1
12.6,1
12.7,1
12.8,1
12.9,1
13.0,1
13.1,1
13.2,1
13.3,1
13.4,1
13.5,1
13.6,1
13.7,1
13.8,1
13.9,1
14.0,1
14.1,1
14.2,1
14.3,1
14.4,1
14.5,1
14.6,1
14.7,1
14.8,1
14.9,1
15.0,1
15.1,1
15.2,1
15.3,1
15.4,1
15.5,1
19.8,1
19.9,1
20.0,1
20.1,1
20.2,1
20.3,1
20.4,1
20.5,1
20.6,1
20.7,1
20.8,1
20.9,1
21.0,1
21.1,1
21.2,1
21.3,1
21.4,1
21.5,1
21.6,1
21.7,1
21.8,1
21.9,1
22.0,1
22.1,1
22.2,1
22.3,1
22.4,1
22.5,1
22.6,1
22.7,1
22.8,1
22.9,1
23.0,1
23.1,1
23.2,1
23.3,1
23.4,1
23.5,1
23.6,1
23.7,1
23.8,1
23.9,1
24.0,1
24.6,1
24.7,1
24.8,1
24.9,1
25.0,1
25.1,1
25.2,1
25.3,1
25.4,1
25.5,1
25.6,1
25.7,1
25.8,1
25.9,1
26.0,1
26.1,1
26.2,1
26.3,1
26.4,1
26.5,1
26.6,1
26.7,1
26.8,1
26.9,1
27.0,1
27.1,1
27.2,1
27.3,1
27.4,1
27.5,1
27.6,1
27.7,1
27.8,1
27.9,1
28.0,1
28.1,1
28.2,1
28.3,1
28.4,1
28.5,1
28.6,1
28.7,1
28.8,1
28.9,1
29.0,1
29.1,1
29.2,1
29.3,1
29.4,1
29.5,1
29.6,1
29.7,1
29.8,1
29.9,1
30.0,1
30.1,1
30.2,1
30.3,1
30.4,1
30.5,1
30.6,1
30.7,1
30.8,1
30.9,1
31.0,1
31.1,1
31.2,1
31.3,1
31.4,1
31.5,1
31.6,1
31.7,1
